"num_vectors","dense","fcs"
100,960.0717827108044,866.4377817164718
"1k",1599.9975585974753,1487.194706622997
"10k",2900.047971088465,1912.0703755013064
"100k",2717.7954985993674,2643.273055467661
"1M",2264.372705495005,2032.61232081736
